case	rc	legacy_gcd_verdict	external_conclusion	overall_verdict	excluded_by
actual_99_66	3	NOT_CLOSED_BY_THIS_GATE	EXCLUDED_BY_EXTERNAL_LT108	REFUSE_CLASSICALLY_CLOSED	GGHV-actual-max-total-degree-108
actual_108_72	0	NOT_CLOSED_BY_THIS_GATE	INCONCLUSIVE_BY_EXTERNAL_MAX_BOUND	NOT_CLOSED_BY_THIS_GATE	-
actual_108_108	0	NOT_CLOSED_BY_THIS_GATE	INCONCLUSIVE_BY_EXTERNAL_MAX_BOUND	NOT_CLOSED_BY_THIS_GATE	-
cap_107	3	NOT_CLOSED_BY_THIS_GATE	EXCLUDED_BY_EXTERNAL_LT108	REFUSE_CLASSICALLY_CLOSED	GGHV-actual-max-total-degree-108
cap_108	0	NOT_CLOSED_BY_THIS_GATE	INCONCLUSIVE_BY_EXTERNAL_MAX_BOUND	NOT_CLOSED_BY_THIS_GATE	-
partial_y_99_66_total_unbounded	0	NOT_CLOSED_BY_THIS_GATE	OUT_OF_SCOPE_ACTUAL_TOTAL_UNBOUNDED	NOT_CLOSED_BY_THIS_GATE	-
actual_99_66_method_control	0	NOT_CLOSED_BY_THIS_GATE	EXCLUDED_BY_EXTERNAL_LT108	METHOD_CONTROL_ONLY	GGHV-actual-max-total-degree-108
gcd_only_actual_108_107	3	REFUSE_CLASSICALLY_CLOSED	INCONCLUSIVE_BY_EXTERNAL_MAX_BOUND	REFUSE_CLASSICALLY_CLOSED	GGV-Heitmann-gcd16
old_gcd_actual_9_12	3	REFUSE_CLASSICALLY_CLOSED	EXCLUDED_BY_EXTERNAL_LT108	REFUSE_CLASSICALLY_CLOSED	GGV-Heitmann-gcd16,GGHV-actual-max-total-degree-108
old_gcd_cap_12	3	REFUSE_CLASSICALLY_CLOSED	EXCLUDED_BY_EXTERNAL_LT108	REFUSE_CLASSICALLY_CLOSED	GGV-Heitmann-gcd16,GGHV-actual-max-total-degree-108
