cli=grok 1.0.13 (5e9a58528b76) permission=bypassPermissions output=plain
I'll start by verifying the frozen input hashes, then read the charged reports, Moh 1983, and the delivered driver before issuing per-item verdicts.Hashes match. Next I’ll read the charged reports, FALLACY-v2, Moh 1983, and the delivered driver.Hashes match. Reading the producer report, driver, recent review format, and Moh 1983 next.Producer report and driver are in hand. Next I’ll pull Moh’s source text, the depth-ceiling context, and the filter logs, then recompute the controls independently.Moh’s page images confirm Def 5.1, Prop 6.1(2), Theorem (5), Lemma 6.1, and the table. Next I’ll rerun the driver and independently recompute pairing, RADIUS-ORDER, survivor U, and the window counts.Window counts, survivor U-values, pairing controls, and the D≤60 rerun all match. Next I’ll draft the sealed verdict report.Body is 41.6KB, over the 20–30KB target. I’ll compress it while keeping every verdict, measurement, and proof, then restamp.Sealed report: `xmodel/n-on-the-tree-review-grok46-20260902.md` (body 35964 bytes, basis `6a4fbe1d19c9ce187b2f5520ca0b30b0f2c766e5`). Frozen input hashes matched before anything was read.

**The instrument exists, inverts the charged filter, and does not prove a `D`-ceiling.** `OPEN[N-ON-THE-TREE]` closes as posed; the residue is the sub-tree of the last major disc `D_1`.

| Item | Verdict |
|---|---|
| (a) CONTACT-DEFICIENCY | **CONFIRMED.** Monicity is load-bearing (negative control `deg_x Res=6≠2`). Three of seven two-tower rows recomputed independently, all exact. Same-slope `ord≥0` only under Moh Lemma 6.1 / Prop 6.1 (row 0: `N=4>3` cross pairs). |
| (b) FRONTIER-N | **CONFIRMED.** Reproved. `N=∑ max(0,-λ_f(δ⁰_i))` on the tree of `f·g`. Exact on 7/7 driver rows. |
| (c) RADIUS-ORDER | **CONFIRMED** for `M_s=n-2`. Read off Def 5.1(3) on journal p.179. 242099/0 reproduced. |
| (d) DETECTOR-NULL | **CONFIRMED** against Prop 6.1(2) p.191 and Theorem (5) p.200 (`r≥2`). Minor discs contribute 0. The missing datum is the joint tree of the `a_1+b_1` roots **below** `δ_1`, where the minor criterion reads `#roots ≤ n/(n+m)<1` and there is no `M_0`. |
| (e) N-CEILING / FILTER-INVERSION | **CONFIRMED** as an **upper** bound. Unknown structure in `D_1` can only add contact, hence lower `N`. `"N≤16"` rejects nothing. Operative test: `U ≥ N_min`. |
| (f) `N<D/2` and `N≤44` | **CONFIRMED** for degree-minimal noninvertible Keller pairs in Moh's gauge with NU-TWO and Lemma 6.1 — **not** for every noninvertible Keller pair. `N≤44` at `{105,108,112,117,120}` follows from max `U_rob=224/5` at `D=120`. |
| (g) Measured `D≤400` | **CONFIRMED** against the hashed log and a `D≤60` rerun (200 groups, `U<2` never, `U<4` on 5, min `120/49`). Min `U=792/329` reconstructed. `1147/3874261=0.0296%`. **"Provably" `U>2` at all `D` is GAP.** |
| (h) Window / survivors | **CONFIRMED.** `[101,200]`: 19455 of 116385 inside `[4,16]`, 418 pinned to `N=4` (recomputed). `U_tower=9, 6, 10.5, 12, 8, 16`. `(64,48)` reconfirmed from Appendix II p.207 `(16,12)`. |
| (i) OCR | **C5 CONFIRMED** as restoration: p.194 already has stacked `n/d_s`. **C6 REFUTED as a Moh-error**: p.200 already prints `#roots ≤ n/(n-M_r)`. **`n=75` "illegible" REFUTED**: p.202 prints `1/5` and `1/2 [1/3]`; the formula gives `2/3`. `OPEN[DELTA75-BRACKET]` remains OPEN. |

**The instrument can** upper-bound `N`, reject `U < N_min`, pin some groups to `N=4`, and prove `N<D/2` in scope. **It cannot** prove `D ≤ C(N)`, lower-bound `N` from a skeleton, evaluate `N` exactly, or empty a degree. No `charge_basis` line: this review asserts no new exit price.
DIVERT path=xmodel/n-on-the-tree-review-grok46-20260902.md status=CLEAN_SEALED body_bytes=35964 body_sha256=5369ee59c2c94e64d055335c94f1ee4b7e5a9b57876bbd35537bdef43212ac7d
